City,Latitude,Longitude
"New York, NY",40.7130466,-74.0072301
"Los Angeles-Long Beach-Anaheim, CA",35.0569,-118.25
"Chicago, IL",41.883229,-87.632398
"Dallas-Fort Worth, TX",32.89748,-97.040443
"Philadelphia, PA",39.95,-75.166667
"Houston, TX",29.762778,-95.383056
"Washington, DC",38.9072,-77.050636
"Miami-Fort Lauderdale, FL",26.133,-80.2
"Atlanta, GA",33.748547,-84.391502
"Boston, MA",42.358056,-71.063611
"San Francisco, CA",37.774929,-122.419416
"Detroit, MI",42.3329407,-83.0478365
"Riverside, CA",33.946484,-117.383171
"Phoenix, AZ",33.45,-112.066667
"Seattle, WA",47.603229,-122.33028
"Minneapolis-St Paul, MN",44.943719,-93.094281
"San Diego, CA",32.715,-117.1625
"St. Louis, MO",38.627,-90.1994
"Tampa, FL",27.947423,-82.458776
"Baltimore, MD",39.283333,-76.616667
"Denver, CO",39.7392,-104.9903
"Pittsburgh, PA",40.4421676,-79.9949573
"Portland, OR",45.52,-122.681944
"Charlotte, NC",35.2237867,-80.8411413
"Sacramento, CA",38.555556,-121.468889
"San Antonio, TX",29.416667,-98.5
"Orlando, FL",28.538331,-81.378879
"Cincinnati, OH",39.1036974,-84.5136131
"Cleveland, OH",41.482222,-81.669722
"Kansas City, MO",39.099722,-94.578333
"Las Vegas, NV",36.1690921,-115.1405767
"Columbus, OH",39.983333,-82.983333
"Indianapolis, IN",39.791,-86.148
"San Jose, CA",37.333333,-121.9
"Austin, TX",30.264979,-97.746598
"Virginia Beach, VA",36.8516,-75.9792
"Nashville, TN",36.166667,-86.783333
"Providence, RI",41.824461,-71.412747
"Milwaukee, WI",43.05,-87.95
"Jacksonville, FL",30.336944,-81.661389
"Memphis, TN",35.117365,-89.971068
"Oklahoma City, OK",35.482222,-97.535
"Louisville-Jefferson County, KY",38.25,-85.766667
"Hartford, CT",41.765775,-72.673356
"Richmond, VA",37.540759,-77.433932
"New Orleans, LA",29.9517634,-90.0746168
"Buffalo, NY",42.887691,-78.879374
"Raleigh, NC",35.780556,-78.638889
"Birmingham, AL",33.525,-86.813
"Salt Lake City, UT",40.75,-111.883333
"Rochester, NY",43.165556,-77.611389
"Grand Rapids, MI",42.9654617,-85.6701714
"Tucson, AZ",32.221667,-110.926389
"Urban Honolulu, HI",21.30992,-157.858158
"Tulsa, OK",36.131389,-95.937222
"Fresno, CA",36.731654,-119.785856
"Worcester, MA",42.266667,-71.8
"Stamford, CT",41.051924,-73.539475
"Albuquerque, NM",35.110703,-106.609991
"Albany, NY",42.6525,-73.757222
"Omaha, NE",41.2565,-95.9345
"New Haven, CT",41.3083,-72.9279
"Bakersfield, CA",35.366667,-119.016667
"Knoxville, TN",35.9626444,-83.9167239
"Greenville, SC",34.844444,-82.385556
"Ventura, CA",34.280832,-119.293107
"Allentown, PA",40.6027532,-75.4697592
"El Paso, TX",31.790278,-106.423333
"Baton Rouge, LA",30.449493,-91.093399
"Dayton, OH",39.760982,-84.192203
"McAllen, TX",26.196695,-98.235698
"Columbia, SC",34.009286,-81.037094
"Greensboro, NC",36.08,-79.819444
"Akron, OH",41.073056,-81.517778
"North Port-Sarasota-Bradenton, FL",27.337222,-82.535278
"Little Rock, AR",34.736111,-92.331111
"Stockton, CA",37.957541,-121.292451
"Charleston, SC",32.783061,-79.934441
"Syracuse, NY",43.046944,-76.144444
"Colorado Springs, CO",38.835224,-104.819798
"Winston-Salem, NC",36.102764,-80.260492
"Wichita, KS",37.688889,-97.336111
"Springfield, MA",42.112411,-72.547455
"Fort Myers, FL",26.616667,-81.833333
"Boise City, ID",43.615791,-116.201579
"Toledo, OH",41.665556,-83.575278
"Madison, WI",43.067,-89.4
"Lakeland, FL",28.0441545,-81.948966
"Ogden, UT",41.222761,-111.970419
"Daytona Beach, FL",29.2070561,-81.0207385
"Des Moines, IA",41.590833,-93.620833
"Jackson, MS",32.298889,-90.184722
"Youngstown, OH",41.1,-80.65
"Augusta, GA",33.466667,-81.966667
"Scranton, PA",41.410556,-75.6675
"Harrisburg, PA",40.269722,-76.875556
