RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03
102001,United States,0,1265,1275,1276,1283,1296,1306,1315,1320,1322,1322,1322,1322,1326,1334,1341,1353,1361,1371,1376,1381,1381,1382,1383,1383,1388,1396,1404,1412,1421,1428,1430,1433,1433,1431,1431,1430,1434,1441,1448,1458,1467,1473,1479,1481,1480,1479,1479,1480,1484,1489,1498,1507,1516,1524,1530,1534,1534,1534,1535,1536,1540,1546,1555,1564,1575,1583,1589,1591,1591,1589,1588,1590,1595,1604,1609,1602,1598,1600,1602,1599,1596,1596,1599,1603,1606,1613,1630,1655,1685,1717,1752,1786,1810,1827,1845,1861,1867,1891,1904
394913,"New York, NY",1,2242,2270,2277,2283,2315,2333,2351,2359,2362,2360,2364,2357,2366,2379,2395,2424,2436,2448,2455,2463,2471,2472,2466,2463,2466,2473,2476,2493,2506,2519,2507,2517,2523,2517,2515,2507,2505,2509,2520,2535,2552,2558,2567,2564,2572,2561,2542,2544,2538,2539,2549,2562,2577,2590,2603,2609,2608,2601,2592,2590,2589,2598,2614,2624,2649,2667,2675,2676,2668,2662,2649,2637,2644,2664,2669,2655,2638,2619,2589,2531,2476,2439,2419,2411,2412,2417,2440,2479,2525,2574,2635,2679,2719,2747,2772,2804,2836,2888,2934
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1813,1842,1830,1838,1861,1880,1899,1914,1924,1929,1928,1932,1946,1955,1971,1984,1995,2008,2023,2036,2044,2053,2062,2066,2078,2095,2107,2115,2133,2147,2151,2163,2170,2176,2177,2183,2195,2207,2218,2234,2249,2256,2270,2277,2281,2283,2288,2287,2298,2307,2315,2327,2337,2350,2359,2371,2376,2381,2389,2393,2397,2402,2410,2421,2430,2441,2451,2459,2463,2463,2467,2476,2481,2486,2485,2461,2445,2443,2441,2432,2434,2441,2446,2443,2441,2451,2465,2489,2521,2564,2608,2662,2698,2726,2750,2774,2793,2827,2853
394463,"Chicago, IL",3,1432,1444,1446,1450,1466,1480,1489,1491,1486,1481,1480,1478,1481,1486,1476,1486,1506,1524,1533,1540,1535,1527,1519,1519,1527,1536,1546,1558,1570,1579,1585,1586,1578,1565,1557,1553,1553,1568,1580,1593,1606,1612,1615,1612,1604,1596,1589,1590,1593,1600,1613,1622,1634,1643,1645,1644,1637,1626,1623,1620,1628,1636,1649,1663,1674,1684,1689,1688,1684,1676,1667,1666,1674,1684,1693,1691,1690,1689,1684,1671,1654,1635,1624,1619,1621,1625,1645,1675,1701,1724,1744,1763,1769,1774,1779,1793,1807,1821,1842
394514,"Dallas-Fort Worth, TX",4,1085,1111,1116,1132,1127,1130,1134,1137,1140,1138,1135,1138,1142,1147,1159,1168,1178,1185,1190,1195,1191,1190,1190,1191,1196,1201,1215,1225,1235,1243,1249,1251,1252,1252,1254,1254,1257,1262,1271,1277,1288,1296,1300,1304,1303,1305,1302,1303,1306,1312,1316,1324,1328,1336,1342,1346,1342,1346,1350,1347,1350,1359,1363,1372,1382,1391,1395,1395,1397,1395,1392,1391,1394,1400,1406,1401,1398,1403,1406,1407,1409,1414,1417,1420,1424,1433,1446,1471,1502,1540,1581,1617,1640,1653,1671,1681,1689,1705,1709
394974,"Philadelphia, PA",5,1327,1294,1314,1318,1327,1337,1343,1348,1351,1345,1342,1330,1334,1336,1349,1359,1371,1378,1380,1380,1379,1375,1376,1374,1379,1385,1395,1403,1411,1417,1423,1417,1415,1412,1414,1412,1414,1419,1429,1436,1443,1444,1448,1448,1445,1446,1450,1450,1447,1453,1464,1473,1483,1487,1488,1491,1492,1493,1492,1496,1501,1507,1515,1521,1529,1539,1542,1542,1541,1543,1543,1543,1545,1558,1563,1556,1559,1561,1561,1564,1564,1565,1567,1573,1573,1574,1584,1602,1622,1642,1660,1691,1704,1720,1735,1757,1753,1763,1775
394692,"Houston, TX",6,1141,1169,1158,1166,1190,1202,1216,1224,1224,1228,1225,1222,1227,1230,1236,1247,1253,1260,1265,1267,1263,1260,1259,1259,1258,1264,1270,1270,1270,1272,1271,1267,1264,1261,1255,1251,1250,1253,1260,1263,1269,1271,1271,1272,1276,1286,1293,1297,1298,1302,1307,1313,1316,1320,1323,1321,1320,1320,1323,1318,1318,1319,1325,1331,1338,1344,1347,1345,1342,1342,1339,1342,1345,1347,1352,1344,1336,1335,1334,1334,1337,1341,1346,1346,1344,1343,1352,1366,1392,1425,1456,1478,1482,1495,1503,1512,1511,1522,1527
395209,"Washington, DC",7,1725,1764,1752,1752,1764,1778,1787,1792,1794,1783,1774,1764,1768,1776,1777,1791,1796,1806,1810,1808,1803,1806,1801,1803,1804,1810,1819,1826,1835,1845,1828,1838,1835,1832,1827,1825,1832,1837,1843,1859,1868,1873,1874,1876,1873,1864,1853,1852,1853,1860,1865,1881,1892,1904,1912,1916,1910,1905,1904,1904,1910,1919,1926,1939,1950,1961,1967,1968,1969,1961,1955,1952,1958,1964,1971,1964,1955,1953,1949,1938,1921,1906,1889,1879,1881,1882,1892,1915,1948,1986,2022,2056,2074,2089,2097,2102,2106,2117,2127
394856,"Miami-Fort Lauderdale, FL",8,1635,1640,1643,1643,1656,1664,1681,1688,1701,1708,1716,1720,1725,1738,1740,1744,1756,1768,1772,1786,1797,1807,1818,1823,1826,1834,1839,1836,1841,1842,1843,1848,1852,1853,1860,1858,1863,1866,1870,1870,1871,1876,1882,1889,1895,1903,1904,1907,1911,1913,1915,1917,1922,1929,1934,1942,1950,1957,1963,1965,1965,1967,1972,1975,1975,1978,1983,1989,1996,2005,2015,2024,2026,2032,2029,2022,2010,2008,2012,2016,2023,2035,2051,2067,2087,2108,2136,2182,2231,2292,2368,2446,2501,2556,2627,2699,2728,2785,2832
394347,"Atlanta, GA",9,1054,1067,1066,1075,1081,1088,1093,1097,1095,1096,1099,1101,1103,1109,1116,1125,1137,1149,1155,1156,1154,1155,1155,1158,1162,1171,1184,1192,1203,1213,1221,1224,1228,1232,1230,1229,1233,1240,1248,1257,1270,1279,1291,1296,1300,1297,1297,1298,1304,1311,1322,1331,1344,1353,1361,1367,1372,1376,1380,1383,1393,1397,1407,1417,1426,1436,1442,1447,1451,1449,1447,1448,1453,1461,1468,1463,1462,1470,1480,1493,1503,1514,1520,1531,1544,1561,1582,1612,1645,1692,1743,1800,1833,1856,1865,1864,1870,1882,1886
394404,"Boston, MA",10,2100,2118,2120,2114,2131,2151,2165,2175,2168,2160,2143,2128,2140,2164,2187,2201,2222,2239,2243,2237,2232,2225,2213,2213,2240,2266,2282,2297,2317,2330,2330,2334,2322,2309,2291,2298,2328,2350,2360,2379,2391,2401,2408,2404,2393,2367,2366,2370,2393,2408,2425,2442,2457,2471,2475,2468,2450,2444,2439,2449,2470,2481,2499,2520,2538,2556,2555,2552,2536,2522,2516,2523,2543,2563,2576,2567,2557,2549,2531,2473,2426,2380,2358,2356,2375,2404,2436,2474,2513,2555,2588,2610,2642,2664,2692,2689,2700,2704,2725
395057,"San Francisco, CA",11,2138,2065,2127,2155,2217,2288,2313,2356,2400,2424,2428,2439,2461,2488,2521,2542,2584,2627,2642,2671,2686,2696,2695,2703,2710,2723,2735,2754,2771,2794,2789,2802,2788,2774,2765,2750,2753,2772,2783,2798,2824,2848,2863,2870,2871,2862,2850,2852,2861,2864,2879,2891,2917,2929,2946,2959,2963,2958,2958,2958,2961,2971,2985,2998,3013,3037,3051,3052,3046,3034,3031,3031,3046,3060,3056,3041,3027,3001,2970,2906,2850,2808,2791,2764,2767,2772,2805,2838,2883,2941,2996,3022,3031,3040,3037,3057,3066,3090,3118
394532,"Detroit, MI",12,931,936,941,944,950,956,962,964,964,963,963,961,962,966,974,975,981,988,991,994,997,987,989,990,995,997,1003,1009,1013,1020,1026,1035,1028,1029,1024,1022,1025,1028,1035,1044,1052,1060,1066,1069,1070,1067,1068,1067,1068,1074,1081,1083,1094,1100,1106,1109,1108,1107,1109,1108,1110,1110,1116,1125,1132,1140,1145,1149,1146,1145,1147,1147,1139,1144,1150,1152,1155,1163,1176,1182,1192,1207,1207,1218,1223,1230,1242,1255,1269,1286,1305,1321,1327,1339,1346,1354,1351,1363,1372
