RegionID,SizeRank,RegionName,RegionType,StateName,01/31/2012,02/29/2012,03/31/2012,04/30/2012,05/31/2012,06/30/2012,07/31/2012,08/31/2012,09/30/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/31/2013,04/30/2013,05/31/2013,06/30/2013,07/31/2013,08/31/2013,09/30/2013,10/31/2013,11/30/2013,12/31/2013,01/31/2014,02/28/2014,03/31/2014,04/30/2014,05/31/2014,06/30/2014,07/31/2014,08/31/2014,09/30/2014,10/31/2014,11/30/2014,12/31/2014,01/31/2015,02/28/2015,03/31/2015,04/30/2015,05/31/2015,06/30/2015,07/31/2015,08/31/2015,09/30/2015,10/31/2015,11/30/2015,12/31/2015,01/31/2016,02/29/2016,03/31/2016,04/30/2016,05/31/2016,06/30/2016,07/31/2016,08/31/2016,09/30/2016,10/31/2016,11/30/2016,12/31/2016,01/31/2017,02/28/2017,03/31/2017,04/30/2017,05/31/2017,06/30/2017,07/31/2017,08/31/2017,09/30/2017,10/31/2017,11/30/2017,12/31/2017,01/31/2018,02/28/2018,03/31/2018,04/30/2018,05/31/2018,06/30/2018,07/31/2018,08/31/2018,09/30/2018,10/31/2018,11/30/2018,12/31/2018,01/31/2019,02/28/2019,03/31/2019,04/30/2019,05/31/2019,06/30/2019,07/31/2019,08/31/2019,09/30/2019,10/31/2019,11/30/2019,12/31/2019,01/31/2020,02/29/2020,03/31/2020,04/30/2020,05/31/2020,06/30/2020,07/31/2020,08/31/2020,09/30/2020,10/31/2020,11/30/2020,12/31/2020,01/31/2021,02/28/2021,03/31/2021,04/30/2021,05/31/2021,06/30/2021,07/31/2021,08/31/2021,09/30/2021,10/31/2021,11/30/2021,12/31/2021,01/31/2022
102001,0,United States,Country,,163297,163187,163356,163679,164156,164607,165069,165509,165997,166576,167284,168080,169051,170136,171376,172629,173962,175319,176680,177942,179144,180297,181375,182406,183429,184482,185352,186067,186717,187385,187972,188377,188757,189244,189887,190615,191351,192170,193074,194013,194946,195750,196457,197135,197859,198617,199350,200219,201186,202238,203157,204146,205103,206074,206943,207776,208648,209586,210642,211730,212825,213946,215108,216350,217538,218676,219673,220672,221765,222969,224235,225532,226822,228192,229524,230842,232058,233171,234203,235181,236157,237122,238096,239088,240107,241048,241856,242555,243200,243801,244353,244912,245545,246258,246993,247820,248804,249948,251233,252454,253301,254008,255106,257022,259531,262350,265374,268418,271650,275006,278663,282524,287231,292759,298643,304039,308663,312760,316645,320978,325677
394913,1,"New York, NY",Msa,NY,376975,375689,374629,373928,373661,373630,373422,373093,372715,372425,372582,373007,373668,374557,375663,377383,379360,381260,382969,384430,385978,387680,389468,391031,392888,394561,396515,398225,399920,401322,402168,402772,403284,403762,404182,404825,405525,406527,407229,408443,409539,410812,411515,411875,412288,412780,414025,414962,415712,416327,417416,419097,420670,421907,422862,423705,424640,425758,427043,428459,430337,431970,434053,435747,438323,440545,442891,444783,446610,448312,449963,451650,453759,456354,459284,462294,464655,466300,467006,467704,468877,470563,472398,473954,474962,475834,476727,477724,478407,478604,478572,478301,477838,477303,477010,477545,478569,480039,481451,482935,483741,484295,485505,488082,492566,498027,504027,509825,514646,519366,523714,528437,533927,541065,548965,556530,562411,566942,570483,573707,577647
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,395846,395107,394430,394944,396025,397700,400296,402336,404732,408400,412763,419208,425542,434753,443779,453632,461740,470202,477577,485337,491858,497040,502774,507831,513513,515989,516964,516253,516277,516419,517265,515825,515365,515852,519036,522815,527407,532344,536205,537616,539527,541489,542682,544095,546112,550420,553783,559601,563511,567783,569567,572794,575924,578828,579578,581205,583464,588020,591750,594578,599031,602090,605447,607016,610196,613964,615519,617219,619420,624190,630119,635300,640211,645384,650408,654956,657506,660371,660803,661680,662130,665387,667240,666729,665569,663420,662077,661647,662614,663632,662697,663421,666134,670434,672446,674256,677231,683327,690287,695409,693500,690600,692341,701511,712123,722085,729573,735908,741042,748530,756399,767442,783105,802909,823806,837248,846358,851116,858319,867616,878396
394463,3,"Chicago, IL",Msa,IL,180617,178485,178338,178016,178471,178349,177538,176715,175751,176099,176487,176796,177525,178597,179579,180873,182104,184178,185843,187894,189489,191654,192626,193961,194699,196190,196964,197426,198095,199191,200062,200273,200601,200854,201310,201838,202330,202962,203856,205131,206090,206137,206102,205927,205946,205939,206166,207014,208092,209899,211230,212192,212651,213018,213641,214089,214544,215047,216065,217555,219402,221084,222867,224148,225106,225249,225327,225486,226133,227030,228163,229589,231180,232525,233320,233801,234251,234681,235090,235386,236030,236529,237299,237913,238444,239180,239642,240146,240204,240132,240093,240024,240020,239913,239921,240133,240610,241214,241740,241866,241700,241670,242675,244329,247194,250031,252814,255024,256545,258854,260954,263976,266711,270507,274647,278737,281790,284434,287113,289816,292436
394514,4,"Dallas-Fort Worth, TX",Msa,TX,144330,144715,145300,145982,146444,147021,147749,148183,148549,148871,149544,150220,151014,151698,152650,153618,154697,155808,156985,157923,158961,160120,161514,162755,163711,164771,165740,166707,167604,168696,169447,170188,170716,171712,172986,174438,176042,177602,179322,181048,182847,184650,186410,187581,188643,189820,191477,193376,195018,196726,198255,200078,202001,203845,205739,207081,208540,210072,212042,214129,215941,217823,219268,220909,222393,223970,225258,226534,228147,229977,231812,233451,235262,237262,239218,240757,241920,243045,244028,245241,246253,247337,248388,249701,251410,252543,253183,253226,253349,253351,253425,254121,255278,255836,256086,255982,256983,257927,259183,259796,260209,260816,261868,264221,266816,269914,272295,274892,277213,280588,284606,290127,296537,303856,311657,319551,326735,332809,338271,344143,351550
394974,5,"Philadelphia, PA",Msa,PA,207880,207170,206879,206862,206804,206322,205632,204962,204556,204233,204152,204074,204370,204689,205240,205848,206746,207680,208571,209136,209747,210185,210752,211094,211680,212246,212617,212467,212482,212652,212934,212801,212627,212551,212726,213052,213372,213627,213979,214479,214755,214853,214898,215160,215367,215393,215370,215384,215640,216013,216293,216704,217128,217882,218388,218921,219354,220047,220762,221764,222845,223765,224437,225015,225647,226128,226459,226940,227597,228614,229640,230772,231690,232899,234360,235856,236832,237337,237806,238335,239127,239857,240906,241907,242937,243683,244541,245193,245821,246046,246476,246923,247394,247807,248309,249184,250105,251100,251600,252622,253430,254743,256356,258953,262097,265757,269258,272920,276133,279235,282319,285628,289957,294765,299274,302878,305727,308169,310638,312907,315442
394692,6,"Houston, TX",Msa,TX,143031,143393,143982,144389,144902,145234,145779,146275,146609,146636,146929,147267,148071,149051,150667,152359,153948,155194,156460,157789,159133,160528,161821,163036,164417,165884,167112,168019,168846,170102,171469,173060,174590,176001,177328,178710,180254,181686,183296,184706,186098,187216,187934,188412,188903,189808,190660,191455,192466,193350,193898,194095,194674,195382,196071,196331,196589,196884,197832,198915,199576,200101,200622,201310,201755,202211,202485,202721,203038,203631,204376,205071,205737,206225,206728,207675,208678,209582,210151,211054,212024,213034,213813,214510,215475,216312,216799,216822,216920,217345,217815,218255,218558,219282,220008,220652,220603,220830,221426,222449,223038,223447,223900,224929,226837,228978,231363,233595,235893,238503,240392,242832,245980,251208,256978,262942,267783,272047,275190,278584,282014
395209,7,"Washington, DC",Msa,DC,331437,331959,333555,335066,336155,337113,338180,339034,339745,341286,343763,346522,349478,352171,354717,356898,359109,361012,362899,364852,367758,370623,373555,375426,377257,379194,380875,382053,381864,381388,381026,380537,380578,380721,381189,381491,381283,381964,382742,383032,382752,382340,382136,381716,381646,382268,383019,384066,384910,385176,385341,386109,387473,388294,388689,388950,390023,391104,392371,393862,395942,398582,399982,400724,400243,400572,400953,402294,403648,405512,407410,408644,409544,410486,412029,413691,415322,416762,417894,418712,419450,420493,421459,423104,424795,426735,428012,428788,429084,429337,429258,430121,431409,433385,435172,436589,437592,438705,440029,441942,443012,444615,447257,451323,456004,460627,465476,470098,474597,479403,485194,491985,499155,505892,510913,514500,516946,519809,522710,526104,529871
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,162918,162985,163443,163868,164690,165545,166462,167813,169514,171233,172716,174306,176492,179056,181839,184742,187504,189685,192175,194842,197978,200914,204514,208023,211429,213708,215809,216824,218333,219504,221424,222871,224396,226040,227091,228551,229739,231528,232614,233819,234768,235995,237004,238220,239811,241294,243240,245019,246980,248526,249732,250980,252336,254236,256223,257953,259255,260635,262265,264137,265616,266919,267751,268992,270229,271579,272781,274368,275827,277623,278703,280188,281100,282801,284620,286222,287935,289412,291144,292237,293093,293862,295778,297453,299112,299291,299838,300247,300531,301057,301367,301488,301416,302005,302765,303193,303945,306014,307966,309612,310641,311478,312123,313498,315828,318598,321152,324206,327546,330591,334458,338135,343879,350157,357590,365065,373251,381499,389214,396515,404601
394347,9,"Atlanta, GA",Msa,GA,130737,130110,130840,131564,132558,133529,134553,135085,134963,135060,135874,137010,138404,139963,141839,143560,145453,147409,149397,151578,153853,156124,158060,160043,161684,163162,164290,165437,166486,167376,168358,169114,169881,170589,171443,172375,173279,174097,174755,175611,176746,177978,178799,179562,180368,181258,182205,183183,184377,185529,186894,188317,189568,190390,190951,191472,191988,192963,194180,195890,197123,198464,199501,200712,201926,203301,204741,205901,207478,209000,210811,212718,214796,216815,218251,219626,220952,222384,223889,225406,227096,228827,230457,231954,233074,234165,235314,236546,237553,237954,238442,239147,240120,240915,241675,242759,243922,245402,246464,247520,248051,248908,250269,252384,255078,258036,261142,264471,267793,271701,275664,280429,285825,292574,299906,307303,314331,321709,329212,336989,344420
